"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"13095","AGO","KHM",10326.0723572594,13.8406362533569,9129.1796875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13096","ALB","KHM",8714.24535771599,3.06177496910095,3686.6494140625,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
"13097","ARE","KHM",5379.95970648155,3.24699997901917,70591.421875,12.7443809509277,3668.39819335938,0.120000102126662,1632.50710449797,2035.89108886141
"13098","ARG","KHM",17208.4395428902,36.8957138061523,284203.75,12.7443809509277,3668.39819335938,0.148500002631742,1632.50710449797,2035.89108886141
"13099","AUS","KHM",6722.6442373682,19.1529998779297,399663.71875,12.7443809509277,3668.39819335938,7.07077812530954,1632.50710449797,2035.89108886141
"13100","AUT","KHM",8992.46735609512,8.01156044006348,193838.5,12.7443809509277,3668.39819335938,6.21467011013745,1632.50710449797,2035.89108886141
"13101","BEL","KHM",9699.51586246033,10.2519998550415,231933.484375,12.7443809509277,3668.39819335938,5.26900009337812,1632.50710449797,2035.89108886141
"13102","BEN","KHM",11163.8029189407,7.19695520401001,2254.8388671875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13103","BGD","KHM",1988.01331981554,128.915878295898,47096.83984375,12.7443809509277,3668.39819335938,0.900000015949954,1632.50710449797,2035.89108886141
"13104","BGR","KHM",8282.24779008637,8.0600004196167,12599.3916015625,12.7443809509277,3668.39819335938,0.192500003411518,1632.50710449797,2035.89108886141
"13105","BHR","KHM",5859.25576653748,0.672007977962494,7970.69091796875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13106","BLR","KHM",8073.41669417496,10.0050001144409,12736.8564453125,12.7443809509277,3668.39819335938,0.260000004607765,1632.50710449797,2035.89108886141
"13107","BLZ","KHM",16462.6061845795,0.249799996614456,831.799987792969,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13108","BRA","KHM",16588.6537427093,173.857666015625,644475.125,12.7443809509277,3668.39819335938,0.630000011164968,1632.50710449797,2035.89108886141
"13109","BRB","KHM",16748.6405233749,0.266088992357254,2544.4736328125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13110","BRN","KHM",1362.58757982273,0.33346301317215,4316.18310546875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13111","BWA","KHM",9391.1383971775,1.75400197505951,6177.18408203125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13112","CAF","KHM",9482.33608693047,3.77740502357483,952.835754394531,12.7443809509277,3668.39819335938,0.0200000003544434,1632.50710449797,2035.89108886141
"13113","CAN","KHM",13241.9676216812,30.7696990966797,714458.25,12.7443809509277,3668.39819335938,7.07000012529575,1632.50710449797,2035.89108886141
"13114","CHE","KHM",9564.8611424408,7.18422222137451,246049.734375,12.7443809509277,3668.39819335938,21.02000037252,1632.50710449797,2035.89108886141
"13115","CHL","KHM",17603.575475946,15.4118299484253,75213.3046875,12.7443809509277,3668.39819335938,0.220000003898878,1632.50710449797,2035.89108886141
"13116","CHN","KHM",2975.50279249039,1262.64501953125,1198480.25,12.7443809509277,3668.39819335938,180.489103198659,1632.50710449797,2035.89108886141
"13117","CIV","KHM",11954.0506710907,16.7349510192871,10425.29296875,12.7443809509277,3668.39819335938,0.019726080349589,1632.50710449797,2035.89108886141
"13118","CMR","KHM",10224.6259513512,14.8563432693481,10075.041015625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13119","COL","KHM",18046.8802386459,41.6825942993164,83778.6171875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13120","CYP","KHM",7563.69204191275,0.694000005722046,9147.166015625,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
